SongID,ArtistID,AlbumID,SongTitle,ReleaseYear,PopularityScore
227,331,1910,Song_227,1994,90
228,708,687,Song_228,1994,96
229,794,1440,Song_229,2008,82
230,373,402,Song_230,1996,88
231,989,1240,Song_231,2014,80
232,662,1557,Song_232,1988,83
233,407,1571,Song_233,2015,74
234,544,881,Song_234,1983,61
235,295,542,Song_235,2003,87
236,555,1767,Song_236,2018,79
237,1038,1539,Song_237,1983,99
238,920,1707,Song_238,2020,99
239,768,1702,Song_239,2021,85
240,683,1642,Song_240,1993,87
241,524,1564,Song_241,1988,54
242,269,1279,Song_242,2002,80
243,503,531,Song_243,2019,84
244,780,2010,Song_244,2013,53
245,829,955,Song_245,2020,55
246,169,1380,Song_246,1992,87
247,1014,741,Song_247,1994,82
248,1058,1077,,2013,88
249,737,1794,Song_249,1988,50
250,885,1624,Song_250,2012,95
251,436,1368,Song_251,2015,94
252,731,1477,Song_252,2005,67
253,553,1738,Song_253,1987,53
254,306,789,Song_254,1987,99
255,892,1761,Song_255,2023,56
256,381,1055,Song_256,1983,81
257,479,811,Song_257,2000,68
258,771,759,Song_258,2001,58
259,446,1315,Song_259,1986,59
260,136,2075,Song_260,1980,86
261,438,1840,Song_261,1987,53
262,614,808,Song_262,1992,67
263,960,1411,Song_263,2024,93
264,360,656,Song_264,1992,76
265,453,2188,Song_265,2004,94
266,106,1265,,2000,88
267,448,1816,Song_267,1983,56
268,629,1936,Song_268,1998,76
269,1028,694,Song_269,1985,97
270,712,2010,Song_270,1989,89
271,284,780,Song_271,2003,73
272,318,1782,Song_272,2023,91
273,222,1525,Song_273,1989,51
274,496,943,Song_274,1983,83
275,675,1621,Song_275,2017,86
276,661,275,Song_276,2019,58
277,946,2060,Song_277,2018,83
278,386,1406,Song_278,1983,93
279,1017,1297,Song_279,2014,59
280,377,1632,Song_280,2013,64
281,473,974,Song_281,1998,96
282,402,800,Song_282,1987,74
283,287,1914,Song_283,2003,73
284,798,1504,Song_284,2021,91
285,153,662,Song_285,2018,78
286,711,1183,Song_286,1988,85
287,1072,695,Song_287,2009,95
288,1099,1338,Song_288,1994,95
289,264,1626,Song_289,2010,99
290,778,1405,Song_290,1982,93
291,303,1876,Song_291,2001,52
292,754,1112,Song_292,1997,58
293,212,764,Song_293,1989,83
294,916,313,Song_294,1999,96
295,572,232,Song_295,2022,71
296,412,1610,Song_296,1989,84
297,197,275,Song_297,1988,54
298,387,1710,Song_298,2001,95
299,548,1386,Song_299,1999,53
300,854,1826,Song_300,2024,72
301,599,1294,Song_301,2006,71
302,976,2072,Song_302,1986,85
303,285,219,Song_303,1996,76
304,1065,1340,Song_304,2023,97
305,342,1685,Song_305,2017,97
306,1028,1414,Song_306,2024,76
307,779,1406,Song_307,1988,77
308,932,794,Song_308,2021,62
309,151,329,Song_309,2007,98
310,402,513,Song_310,2013,86
311,482,570,Song_311,2017,85
312,440,444,Song_312,2013,58
313,394,1229,Song_313,1983,74
314,737,623,Song_314,1994,67
315,613,1276,Song_315,1995,99
316,885,1328,Song_316,1987,98
317,1089,1290,Song_317,2009,64
318,437,1492,Song_318,2011,91
319,592,1440,Song_319,1996,52
320,264,1584,Song_320,2014,69
321,105,559,Song_321,2019,73
322,306,291,Song_322,2007,68
323,768,312,Song_323,2019,62
324,136,2029,Song_324,1980,73
325,811,1276,Song_325,2006,99
326,1004,1618,Song_326,2002,66
327,493,913,Song_327,2015,80
328,385,765,Song_328,1999,95
329,689,1968,Song_329,1984,54
330,412,1440,Song_330,2021,97
331,990,1529,Song_331,1991,67
332,359,1315,Song_332,1982,94
333,453,1457,Song_333,2000,66
334,881,1444,Song_334,1998,53
335,326,443,Song_335,2001,83
336,208,845,Song_336,2005,92
337,246,1800,Song_337,2001,58
338,662,2050,Song_338,2007,94
339,998,1636,Song_339,1993,61
340,573,913,Song_340,2015,54
341,217,2156,Song_341,1996,97
342,912,2150,Song_342,2001,55
343,732,711,Song_343,2011,75
344,997,1983,Song_344,1996,89
345,991,1871,Song_345,1983,86
346,930,693,Song_346,2022,85
347,915,2173,Song_347,2024,50
348,140,1652,Song_348,2008,99
349,889,1749,Song_349,1986,50
350,571,914,Song_350,2007,70
351,1069,1320,Song_351,2023,65
352,756,506,Song_352,1985,69
353,768,2086,Song_353,2008,53
354,166,1670,Song_354,1981,85
355,972,401,Song_355,2001,91
356,223,1554,Song_356,2009,60
357,996,269,Song_357,1992,78
358,1083,204,Song_358,1988,90
359,804,1270,Song_359,2012,97
360,447,544,Song_360,2019,72
361,110,2143,Song_361,2019,72
362,108,1643,,2015,85
363,968,1838,Song_363,1981,87
364,631,1217,Song_364,1997,70
365,977,2184,Song_365,2000,53
366,1014,552,Song_366,2022,66
367,775,1296,Song_367,1996,52
368,214,1954,Song_368,2009,59
369,578,1452,Song_369,2005,53
370,285,1260,Song_370,2017,54
371,174,936,Song_371,1989,93
372,995,266,Song_372,1985,75
373,305,2138,Song_373,2003,75
374,241,982,Song_374,1995,83
375,355,1498,Song_375,2014,97
376,226,2145,Song_376,1983,86
377,977,264,,1997,84
378,497,876,Song_378,2016,63
379,591,2155,Song_379,2021,63
380,561,1138,Song_380,2009,50
381,309,1213,Song_381,2018,50
382,720,1575,Song_382,2015,55
383,359,996,Song_383,1981,91
384,464,241,Song_384,1993,84
385,151,1467,Song_385,2000,87
386,725,2029,Song_386,2005,68
387,768,1596,Song_387,1985,80
388,767,309,Song_388,1985,82
389,163,729,Song_389,2012,82
390,428,1867,Song_390,2012,51
391,113,468,Song_391,2019,69
392,1086,1776,Song_392,2014,85
393,955,1728,Song_393,2013,79
394,907,202,Song_394,2015,76
395,989,1027,Song_395,1998,87
396,800,324,Song_396,2004,50
397,656,1958,Song_397,2013,81
398,675,1433,Song_398,1988,81
399,563,1319,Song_399,1989,99
400,1089,910,Song_400,1986,75
401,843,1015,Song_401,2024,88
402,304,305,Song_402,1999,72
403,940,278,Song_403,2010,87
404,614,493,Song_404,2024,59
405,747,1387,Song_405,2011,66
406,334,1650,Song_406,2014,70
407,598,1790,Song_407,2000,64
408,772,528,Song_408,2015,68
409,197,1797,Song_409,2004,62
410,1001,692,Song_410,2024,84
411,759,1899,Song_411,2018,53
412,264,1917,Song_412,2023,62
413,406,1543,Song_413,2013,83
414,1090,986,Song_414,1990,79
415,105,867,Song_415,2012,96
416,489,835,Song_416,1993,75
417,648,485,Song_417,2013,66
418,208,2125,Song_418,2010,71
419,951,848,Song_419,2001,67
420,340,717,Song_420,1993,66
421,635,954,Song_421,1997,97
422,846,1285,Song_422,2024,66
423,949,1700,Song_423,1992,93
424,467,1716,Song_424,2012,91
425,980,998,Song_425,1990,58
426,794,698,Song_426,1980,96
427,842,250,Song_427,2014,53
428,792,291,Song_428,2024,51
429,374,1462,Song_429,2003,76
430,250,1695,Song_430,1986,87
431,177,1097,Song_431,2022,60
432,313,243,Song_432,1983,87
433,346,2092,Song_433,2024,93
434,453,1446,Song_434,2021,89
435,763,1684,Song_435,2003,69
436,341,1618,Song_436,1986,85
437,864,1036,Song_437,2000,96
438,945,1765,Song_438,2001,57
439,845,730,Song_439,2016,71
440,597,1678,Song_440,2022,80
441,790,339,Song_441,1989,58
442,666,2028,Song_442,1986,60
443,618,1046,Song_443,1987,98
444,835,1177,Song_444,2013,94
445,944,1524,Song_445,2008,72
446,496,520,Song_446,2021,50
447,195,1300,Song_447,2004,88
448,492,1219,Song_448,2005,58
449,1099,1244,Song_449,2001,77
450,137,835,Song_450,2024,50
451,893,1354,Song_451,2002,99
452,224,639,Song_452,2014,68
453,174,1736,Song_453,2015,85
454,894,1077,Song_454,1997,68
455,664,1399,Song_455,1999,59
456,694,852,Song_456,2018,50
457,240,2087,Song_457,2007,74
458,374,1121,Song_458,1991,70
459,277,602,Song_459,1990,60
460,784,695,Song_460,1990,82
461,1035,1879,Song_461,1989,71
462,1015,1506,Song_462,1981,81
463,633,862,Song_463,1980,78
464,392,1991,Song_464,1984,89
465,1092,289,Song_465,2002,55
466,953,1186,Song_466,1980,60
467,891,1938,Song_467,2005,68
468,995,1840,Song_468,1989,81
469,654,690,Song_469,1990,72
470,574,1041,Song_470,2013,51
471,673,936,Song_471,2009,84
472,252,1182,Song_472,1984,56
473,814,741,Song_473,2022,77
474,456,506,Song_474,2017,91
475,362,1428,Song_475,1988,82
476,823,1060,Song_476,2014,51
477,758,1378,Song_477,2003,76
478,472,668,Song_478,1982,62
479,434,2200,Song_479,2012,77
480,140,1872,Song_480,1981,55
481,957,1042,Song_481,2005,90
482,519,420,Song_482,1985,95
483,988,1561,Song_483,2009,55
484,644,1041,Song_484,2001,91
485,219,1229,Song_485,1980,85
486,470,810,Song_486,2013,52
487,533,1564,Song_487,2023,53
488,409,1401,Song_488,2009,66
489,954,1135,Song_489,2006,72
490,1050,240,Song_490,2018,67
491,172,1780,Song_491,2023,85
492,593,1302,Song_492,1984,58
493,295,2099,Song_493,2005,79
494,765,1768,Song_494,2024,89
495,758,780,Song_495,1998,58
496,190,686,Song_496,2009,59
497,599,1515,Song_497,1984,64
498,465,352,Song_498,1990,67
499,502,795,Song_499,2012,82
500,1002,922,Song_500,1991,60
501,783,256,Song_501,2009,88
502,504,1925,Song_502,2011,65
503,211,1547,Song_503,1985,84
504,761,271,Song_504,2015,57
505,948,321,Song_505,2000,87
506,611,488,Song_506,2015,58
507,540,995,Song_507,2015,82
508,428,1011,Song_508,1986,76
509,704,564,Song_509,2005,70
510,568,284,Song_510,1985,80
511,540,1736,Song_511,2005,80
512,299,691,Song_512,1992,57
513,200,1951,Song_513,2009,96
514,472,1390,Song_514,2022,82
515,651,1979,Song_515,2005,70
516,749,1859,Song_516,2021,81
517,251,231,Song_517,2014,74
518,745,2014,Song_518,1996,83
519,437,637,Song_519,1981,78
520,264,585,,1984,91
521,982,763,Song_521,2023,97
522,685,2043,Song_522,2000,55
523,725,847,Song_523,2015,89
524,1061,336,Song_524,2019,99
525,228,344,Song_525,2008,99
526,968,955,Song_526,1992,59
527,1040,1096,Song_527,1982,65
528,1075,1560,Song_528,1993,77
529,775,1723,Song_529,2009,66
530,431,1433,Song_530,1999,53
531,197,541,Song_531,1991,88
532,702,2051,Song_532,1995,54
533,635,322,Song_533,1983,83
534,139,1392,Song_534,2020,73
535,932,890,Song_535,2004,85
536,140,575,Song_536,2005,79
537,1093,648,Song_537,1993,56
538,476,944,Song_538,1994,75
539,360,1233,Song_539,2022,64
540,162,1879,Song_540,2012,76
541,661,2092,Song_541,1991,94
542,244,1446,Song_542,1995,97
543,264,1393,Song_543,1988,51
544,739,1301,Song_544,1988,81
545,1018,811,Song_545,2018,89
546,878,1080,Song_546,1995,51
547,689,1497,Song_547,1989,59
548,964,540,Song_548,1982,65
549,1034,2009,Song_549,2003,54
550,313,844,Song_550,2008,56
551,355,707,Song_551,2014,72
552,454,1714,Song_552,1985,79
553,849,263,Song_553,1985,61
554,664,608,Song_554,2019,95
555,900,1024,Song_555,1990,54
556,901,1285,Song_556,2014,62
557,978,240,Song_557,1984,60
558,393,2165,Song_558,2023,64
559,417,371,Song_559,2022,62
560,1066,514,Song_560,2013,78
561,505,700,Song_561,1992,67
562,673,2137,Song_562,2008,64
563,311,2199,Song_563,2009,97
564,575,1828,Song_564,2018,69
565,758,1728,,2017,81
566,1054,1782,Song_566,2006,72
567,739,628,Song_567,2007,57
568,520,2173,Song_568,2024,61
569,790,1135,Song_569,1985,66
570,1020,329,Song_570,1998,52
571,760,2042,Song_571,2006,60
572,1068,1475,Song_572,2019,59
573,504,1284,Song_573,1994,89
574,739,214,Song_574,2011,92
575,1006,1517,Song_575,2021,94
576,128,344,Song_576,1990,82
577,818,651,Song_577,2000,79
578,283,875,Song_578,1998,66
579,826,1098,Song_579,1992,51
580,366,1597,Song_580,2001,93
581,364,1295,Song_581,2019,55
582,943,1239,Song_582,1994,50
583,446,1468,Song_583,2010,93
584,1095,1244,Song_584,1982,82
585,888,1517,Song_585,2016,92
586,790,1297,Song_586,1997,90
587,681,1277,Song_587,1994,99
588,651,1708,Song_588,2021,91
589,288,741,Song_589,2022,74
590,437,1949,Song_590,2012,53
591,305,560,Song_591,2016,61
592,1072,2085,Song_592,1990,75
593,671,247,Song_593,1987,69
594,994,1379,Song_594,2015,67
595,1072,1406,Song_595,1980,96
596,483,231,Song_596,1985,62
597,949,443,Song_597,2005,80
598,282,1499,Song_598,1984,79
599,423,1970,Song_599,1985,95
600,1038,1575,Song_600,2002,64
601,604,1972,Song_601,2015,76
602,609,1346,Song_602,1982,73
603,684,992,Song_603,1996,96
604,736,577,Song_604,1993,97
605,639,1903,Song_605,2011,91
606,788,879,Song_606,2013,74
607,401,273,Song_607,2017,55
608,270,811,Song_608,2023,98
609,418,1716,Song_609,2006,58
610,226,1417,Song_610,1988,51
611,417,2082,Song_611,2021,94
612,1077,361,Song_612,1981,82
613,458,1595,Song_613,1984,63
614,323,1902,Song_614,1997,65
615,359,618,Song_615,2022,55
616,674,1092,Song_616,2017,81
617,934,1420,Song_617,1985,54
618,491,1635,Song_618,2000,91
619,565,1989,Song_619,2001,84
620,1018,1026,Song_620,1995,53
621,485,1022,Song_621,2007,67
622,159,962,Song_622,1984,98
623,691,341,Song_623,1983,73
624,112,2109,Song_624,2015,98
625,652,487,Song_625,1995,59
626,633,916,Song_626,1992,86
627,421,400,Song_627,1981,99
628,578,1871,Song_628,1986,60
629,468,1499,Song_629,2004,66
630,162,389,Song_630,2023,51
631,492,1207,Song_631,2013,66
632,755,1130,Song_632,2000,90
633,396,253,Song_633,2019,73
634,649,519,Song_634,2014,68
635,887,1028,Song_635,2004,83
636,1063,872,Song_636,2002,88
637,769,713,Song_637,1996,74
638,499,1238,Song_638,1984,79
639,454,934,Song_639,2007,52
640,627,1343,Song_640,2022,58
641,261,464,Song_641,2001,93
642,143,1115,Song_642,1987,52
643,125,1535,Song_643,1998,69
644,314,1975,Song_644,2006,95
645,854,1395,Song_645,2021,98
646,961,1563,Song_646,1994,86
647,1082,235,Song_647,2001,56
648,892,1118,,1984,65
649,652,1203,Song_649,2018,76
650,1039,1868,Song_650,2017,88
651,215,1555,Song_651,2006,84
652,282,2069,Song_652,2023,77
653,302,2060,Song_653,1997,70
654,960,1099,Song_654,2016,50
655,101,267,,1987,58
656,287,214,Song_656,1996,59
657,1063,1459,Song_657,2001,60
658,423,1372,Song_658,2017,99
659,1050,569,Song_659,1983,92
660,1011,2036,Song_660,1985,76
661,782,1375,Song_661,2011,87
662,754,1400,Song_662,2024,97
663,474,972,Song_663,1992,88
664,870,751,Song_664,2007,68
665,669,1250,Song_665,1992,93
666,184,663,Song_666,2008,82
667,251,1987,,1980,87
668,561,1422,Song_668,1995,96
669,664,1620,Song_669,2024,72
670,549,1172,Song_670,2005,50
671,490,1656,Song_671,2017,88
672,488,876,Song_672,1990,86
673,384,2162,,2011,67
674,868,1344,Song_674,2007,62
675,667,1319,Song_675,2020,64
676,946,1429,Song_676,1989,57
677,968,244,Song_677,2014,54
678,526,1770,Song_678,1995,80
679,749,1765,Song_679,1981,92
680,446,1807,Song_680,2003,98
681,217,1715,Song_681,2013,53
682,1057,1565,Song_682,2006,97
683,1040,924,Song_683,1986,79
684,331,772,Song_684,2024,75
685,955,1708,Song_685,2015,98
686,101,745,Song_686,1983,56
687,988,574,Song_687,1994,64
688,179,1401,Song_688,1997,70
689,410,1164,Song_689,1990,60
690,879,1733,Song_690,1997,60
691,1049,1787,Song_691,1987,69
692,472,1032,Song_692,1986,53
693,562,443,Song_693,1997,92
694,692,1394,Song_694,1981,86
695,729,657,Song_695,2013,76
696,103,881,Song_696,2020,59
697,406,255,Song_697,1984,65
698,933,1357,Song_698,1993,59
699,769,620,Song_699,1997,80
700,893,583,Song_700,2001,70
701,1087,1602,Song_701,2007,70
702,149,1211,Song_702,2008,70
703,1094,1406,Song_703,1980,97
704,192,1041,Song_704,1981,68
705,666,1102,Song_705,1992,98
706,862,300,Song_706,1990,82
707,128,944,Song_707,1987,78
708,917,760,Song_708,1993,76
709,725,1773,Song_709,1990,94
710,352,730,Song_710,2012,97
711,875,1937,Song_711,1985,65
712,308,460,Song_712,2007,67
713,275,1820,Song_713,1985,76
714,989,222,Song_714,1996,90
715,1092,557,Song_715,2014,75
716,265,300,Song_716,2015,87
717,142,1299,Song_717,2020,50
718,470,271,Song_718,1982,70
719,1051,1951,Song_719,1989,87
720,503,745,Song_720,1997,73
721,1047,1952,Song_721,1986,94
722,658,1897,Song_722,1981,83
723,657,1001,Song_723,1991,85
724,1071,1985,Song_724,1990,74
725,265,655,Song_725,1990,51
726,521,485,Song_726,2000,62
727,111,2035,Song_727,1996,74
728,174,2006,Song_728,1994,90
729,861,738,Song_729,1991,84
730,913,959,Song_730,1999,72
731,636,216,Song_731,2004,50
732,411,2188,Song_732,1981,95
733,498,1318,Song_733,2005,55
734,727,1866,Song_734,2022,88
735,426,1880,Song_735,2008,68
736,490,1984,Song_736,2004,54
737,470,567,Song_737,2003,73
738,782,1639,Song_738,1980,61
739,306,201,Song_739,1988,88
740,125,765,Song_740,2014,91
741,939,1158,Song_741,2021,83
742,788,1729,Song_742,1983,66
743,742,540,Song_743,2001,77
744,154,943,Song_744,1984,71
745,630,406,Song_745,1990,54
746,1015,248,Song_746,2001,96
747,901,800,Song_747,1981,83
748,582,359,Song_748,1988,75
749,933,1009,Song_749,1985,64
750,1080,1468,Song_750,1994,77
751,904,1836,Song_751,2010,71
752,1079,1267,Song_752,1995,79
753,398,529,Song_753,1992,79
754,636,610,Song_754,1981,64
755,238,1418,,2023,63
756,750,971,Song_756,2015,99
757,1063,1201,Song_757,1989,87
758,303,1520,Song_758,2001,69
759,468,894,Song_759,1997,96
760,294,266,Song_760,2001,79
761,913,1409,Song_761,2000,54
762,671,217,Song_762,2003,80
763,1038,216,Song_763,1989,66
764,182,1550,Song_764,2014,95
765,732,444,Song_765,2019,78
766,1078,413,Song_766,1990,97
767,841,1215,Song_767,2015,76
768,909,316,Song_768,2003,99
769,576,565,Song_769,1985,87
770,1075,2044,Song_770,2005,82
771,1013,325,Song_771,2011,63
772,864,1231,Song_772,2010,87
773,423,943,Song_773,1990,75
774,1013,1307,Song_774,2014,88
775,657,1700,Song_775,1986,75
776,604,464,Song_776,2015,54
777,325,1470,Song_777,2024,51
778,627,561,Song_778,2010,84
779,1095,1075,Song_779,2000,50
780,193,251,Song_780,1984,77
781,207,1162,Song_781,1981,53
782,786,1183,Song_782,1980,78
783,961,989,Song_783,2002,60
784,767,2053,Song_784,2001,55
785,554,1122,Song_785,1993,85
786,481,1575,Song_786,2011,56
787,912,1021,Song_787,1983,73
788,860,1585,Song_788,2015,91
789,444,1657,Song_789,1990,65
790,110,445,Song_790,2021,58
791,712,819,Song_791,1982,90
792,859,1821,Song_792,2005,52
793,225,1250,Song_793,2017,99
794,834,1973,Song_794,1982,87
795,284,932,Song_795,1990,97
796,694,2109,Song_796,2014,61
797,744,300,Song_797,2022,83
798,990,1376,Song_798,2005,87
799,313,1680,Song_799,2024,71
800,496,1305,Song_800,2004,79
801,499,901,Song_801,1998,61
802,779,572,Song_802,1999,58
803,753,1342,Song_803,1997,51
804,243,1496,Song_804,2020,51
805,813,1299,Song_805,2003,97
806,147,1378,Song_806,2005,83
807,798,2114,Song_807,1981,56
808,551,1093,Song_808,1987,85
809,677,1483,Song_809,1980,69
810,609,778,Song_810,1993,90
811,148,651,Song_811,2013,55
812,867,1416,Song_812,2012,90
813,876,730,Song_813,1989,64
814,868,1975,Song_814,2020,78
815,574,976,Song_815,2004,96
816,829,1136,Song_816,1997,80
817,765,970,Song_817,1985,89
818,1025,201,Song_818,2018,77
819,797,369,Song_819,1981,52
820,350,1474,Song_820,2007,58
821,681,1606,Song_821,1995,97
822,654,1808,Song_822,2008,76
823,137,1048,Song_823,2010,91
824,217,2154,Song_824,2003,92
825,427,1632,Song_825,2020,53
826,829,236,Song_826,2015,71
827,119,1392,Song_827,2003,50
828,777,2045,Song_828,2024,54
829,335,1985,Song_829,1999,88
830,459,2010,Song_830,2017,75
831,831,358,Song_831,1989,56
832,1039,2167,Song_832,2024,59
833,600,305,Song_833,2013,91
834,475,582,Song_834,2016,56
835,497,1706,Song_835,1996,84
836,549,459,Song_836,2002,89
